股票代码,年度,股票简称,证券交易所,中小企业板标示
88,2002,盐田港A,SZ,0
88,2003,盐田港A,SZ,0
88,2004,盐田港A,SZ,0
88,2005,G盐田港,SZ,0
88,2006,盐田港,SZ,0
88,2007,盐田港,SZ,0
88,2009,盐田港,SZ,0
88,2010,盐田港,SZ,0
89,2002,深圳机场,SZ,0
89,2003,深圳机场,SZ,0
89,2004,深圳机场,SZ,0
89,2005,G深机场,SZ,0
89,2006,深圳机场,SZ,0
89,2007,深圳机场,SZ,0
89,2008,深圳机场,SZ,0
89,2009,深圳机场,SZ,0
89,2011,深圳机场,SZ,0
90,2002,深天健,SZ,0
90,2003,深天健,SZ,0
90,2006,深天健,SZ,0
90,2007,深天健,SZ,0
90,2008,深天健,SZ,0
90,2009,深天健,SZ,0
90,2011,深天健,SZ,0
96,2002,广聚能源,SZ,0
96,2003,广聚能源,SZ,0
96,2004,广聚能源,SZ,0
96,2005,G广聚,SZ,0
96,2006,广聚能源,SZ,0
96,2007,广聚能源,SZ,0
96,2009,广聚能源,SZ,0
96,2010,广聚能源,SZ,0
99,2002,中信海直,SZ,0
99,2003,中信海直,SZ,0
99,2004,中信海直,SZ,0
99,2005,G海直,SZ,0
99,2006,中信海直,SZ,0
99,2007,中信海直,SZ,0
99,2008,中信海直,SZ,0
99,2009,中信海直,SZ,0
99,2010,中信海直,SZ,0
100,2003,TCL集团,SZ,0
100,2006,TCL集团,SZ,0
100,2007,*STTCL,SZ,0
100,2008,TCL集团,SZ,0
100,2009,TCL集团,SZ,0
100,2011,TCL集团,SZ,0
150,2003,ST光电,SZ,0
150,2004,ST光电,SZ,0
150,2005,光电股份,SZ,0
150,2006,S*ST光电,SZ,0
150,2008,宜华地产,SZ,0
150,2009,宜华地产,SZ,0
150,2010,宜华地产,SZ,0
151,2002,中成股份,SZ,0
151,2003,中成股份,SZ,0
151,2004,中成股份,SZ,0
151,2005,中成股份,SZ,0
151,2006,中成股份,SZ,0
151,2007,中成股份,SZ,0
151,2008,中成股份,SZ,0
151,2009,中成股份,SZ,0
151,2011,中成股份,SZ,0
153,2002,丰原药业,SZ,0
153,2003,丰原药业,SZ,0
153,2004,丰原药业,SZ,0
153,2005,G丰原药,SZ,0
153,2006,丰原药业,SZ,0
153,2007,丰原药业,SZ,0
153,2008,丰原药业,SZ,0
153,2009,丰原药业,SZ,0
153,2010,丰原药业,SZ,0
155,2002,川化股份,SZ,0
155,2003,川化股份,SZ,0
155,2004,川化股份,SZ,0
155,2005,川化股份,SZ,0
155,2006,川化股份,SZ,0
155,2007,川化股份,SZ,0
155,2008,川化股份,SZ,0
155,2009,川化股份,SZ,0
155,2011,川化股份,SZ,0
156,2002,安塑股份,SZ,0
156,2003,安塑股份,SZ,0
156,2004,*ST嘉瑞,SZ,0
156,2005,*ST嘉瑞,SZ,0
156,2006,*ST嘉瑞,SZ,0
156,2007,*ST嘉瑞,SZ,0
156,2008,*ST嘉瑞,SZ,0
156,2009,*ST嘉瑞,SZ,0
156,2011,*ST嘉瑞,SZ,0
157,2002,中联重科,SZ,0
157,2003,中联重科,SZ,0
157,2004,中联重科,SZ,0
157,2005,中联重科,SZ,0
157,2006,中联重科,SZ,0
157,2007,中联重科,SZ,0
157,2008,中联重科,SZ,0
157,2009,中联重科,SZ,0
157,2010,中联重科,SZ,0
158,2003,常山股份,SZ,0
158,2004,常山股份,SZ,0
158,2005,G常山,SZ,0
158,2006,常山股份,SZ,0
158,2007,常山股份,SZ,0
158,2009,常山股份,SZ,0
158,2010,常山股份,SZ,0
159,2002,国际实业,SZ,0
159,2003,国际实业,SZ,0
159,2004,国际实业,SZ,0
159,2005,国际实业,SZ,0
159,2006,国际实业,SZ,0
159,2007,国际实业,SZ,0
159,2009,国际实业,SZ,0
159,2011,国际实业,SZ,0
301,2002,丝绸股份,SZ,0
301,2003,丝绸股份,SZ,0
301,2004,丝绸股份,SZ,0
