股票代码,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地
890,江苏法尔胜股份有限公司,"JIANGSU FASTEN CO.,LTD.",C69,151040,江苏省江阴市通江北路203号
892,重庆长丰通信股份有限公司,"CHONGQING CHANGFENG COMMUNICATION CO.,LTD",G85,452010,重庆市涪陵人民东路50号
893,广州冷机股份有限公司,GUANGZHOU REFRIGERATION CO.LTD.,C7,201060,广东省广州市白云区人和镇人和大街12号
895,河南双汇投资发展股份有限公司,"HENAN SHUANGHUI INVESTMENT & DEVELOPMENT CO.,LTD.",C01,302020,河南省漯河市源汇区双汇路1号双汇大厦
897,天津津滨发展股份有限公司,"TIANJIN JINBIN DEVELOPMENT CO.,LTD.",K01,404030,天津市经济技术开发区第一大街二号
898,鞍钢新轧钢股份有限公司,ANGANG NEW STEEL COMPANY LIMITED,C65,151040,辽宁省鞍山市南中华路396号
899,江西赣能股份有限公司,JIANGXI GANNENG CO.LTD.,D01,551010,江西省南昌市高新技术开发区火炬大街199号
900,现代投资股份有限公司,"XIANDAI INVESTMENT CO.,LTD",F11,203050,湖南省长沙市八一路466号
901,哈尔滨航天风华科技股份有限公司,"AEROSPACE HI—TECH HOLDING GROUP CO.,LTD",C78,452030,黑龙江省哈尔滨市平房哈平西路45号
902,中国服装股份有限公司,"CHINA GARMENTS CO.,LTD.",C13,252030,北京市新技术产业开发试验区丰台科技园区
903,昆明云内动力股份有限公司,"KUNMING YUNNEI POWER CO.,LTD.",C71,201060,云南省昆明市穿金路715号
905,厦门路桥股份有限公司,"XIAMEN PORT DEVELOPMENT Co., Ltd.",F11,203050,厦门市湖里区长岸路海天港区C2（联检大楼）第13层
906,南方建材股份有限公司,"SOUTHERN BUILDING MATERIALS CO,.LTD.",H03,201070,湖南省长沙市芙蓉中路29号
908,湖南天一科技股份有限公司,"HUNAN TIANYI SCIENCE AND TECHNOLOGY CO.,LTD.",C71,201070,湖南省平江县城关镇南街339号
909,数源科技股份有限公司,"SOYEA TECHNOLOGY CO.,LTD.",G81,252010,杭州市西湖区教工路一号
910,大亚科技股份有限公司,"Dare Technology Co.,Ltd",C31,201050,江苏省丹阳经济技术开发区金陵西路95 号
911,南宁糖业股份有限公司,"NANNING SUGAR MANUFACTURING CO.,LTD.",C01,302020,中国广西壮族自治区南宁市亭洪路48号
912,四川泸天化股份有限公司,SICCHUAN LUTIANHUA COMPANY LIMITED,C43,151010,四川省成都市中同仁路220号
913,浙江钱江摩托股份有限公司,"ZHEJIANG QIANJIANG MOTORCYCIE CO.,LTD.",C75,251020,浙江省温岭市经济开发区
915,山东山大华特科技股份有限公司,"SHANDONG SHANDA WIT SCIENCE AND TECHNOLOGY CO., LTD.",M,301010,山东省沂南县振兴路6号
916,华北高速公路股份有限公司,"HUABEI EXPRESSWAY CO.,LTD.",F11,203050,北京市经济技术开发区宏达北路10 号
917,湖南电广传媒股份有限公司,"HUNAN TV&BROADCAST INTERMEDIARY CO.,LTD.",L10,254010,湖南省长沙市浏阳河大桥东
918,湖南亚华种业股份有限公司,"HUNAN AVA HOLDINGS CO.,LTD.",A,302020,湖南省长沙市岳麓区银盆南路289号万利大厦五楼
919,金陵药业股份有限公司,JINLING PHARMACEUTICAL COMPANY LIMITED,C81,352020,南京经济技术开发区（新港大街58号）
920,南方汇通股份有限公司,"SOUTH HUITONG CO.,LTD.",C75,201060,贵州省贵阳市国家高新技术产业开发区
921,广东科龙电器股份有限公司,GUANGDONG KELON ELECTRICAL HOLDINGS COMPANY LIMITED,C76,252010,中国广东省佛山市顺德区容桂街道容港路8号
922,阿城继电器股份有限公司,"ACHENG RELAY CO.,LTD.",C76,201040,哈尔滨市南岗区赣水路高新技术产业开发区15号楼
923,河北宣化工程机械股份有限公司,"XUANHUA CONSTRUCTION MACHINERY CO.,LTD",C73,201060,河北省张家口市宣化区东升路21号
925,浙江浙大海纳科技股份有限公司,"ZHEJIANG HAINA SCIENCE AND TECHNOLOGY CO.,LTD.",C99,452050,浙江省杭州市高新区2号路之江科技工业园区6号楼
926,湖北福星科技股份有限公司,"HUBEI FUXING SCIENCE AND TECHNIQUE  C0.,LTD",C69,151040,湖北省汉川市沉湖镇福星街1号
927,天津一汽夏利汽车股份有限公司,"TIANJIN AUTOMOTIVE XIALI CO.,LTD.",C75,251020,天津市南开区南京路355号
928,吉林炭素股份有限公司,"JILIN CARBON CO.,LTD.",C61,201040,吉林省吉林市昌邑区和平街九号
929,兰州黄河企业股份有限公司,"LANZHOU HUANGHE ENTERPRISE CO.,LTD.",C0,302010,甘肃省兰州市七里河区郑家庄108号
930,安徽丰原生物化学股份有限公司,"ANHUI BBCA BIOCHEMICAL CO.,LTD.",C03,151010,安徽省蚌埠市大庆路73号
931,北京中关村科技发展(控股)股份有限公司,"BEIJING CENTERGATE TECHNOLOGIES（HOLDING）CO.,LTD.",K01,404030,北京市海淀区中关村南大街32号
932,湖南华菱管线股份有限公司,"HUNAN VALIN STEEL TUBE & WIRE CO.,LTD.",C6,151040,湖南省长沙市芙蓉中路二段111号
933,河南神火煤电股份有限公司,"HENAN SHEN HUO COAL INDUSTRY AND ELECTRICITY POWER CO.,LTD.",B01,101020,河南省永城市新城区光明路
935,四川双马水泥股份有限公司,"SICHUAN SHUANGMA CEMENT CO.,LTD.",C61,151020,四川省江油市二郎庙镇
936,江苏华西村股份有限公司,"JIANGSU HUAXICUN CO.,LTD.",C47,151010,江苏省江阴市华士镇华西村
937,河北金牛能源股份有限公司,"HEBEI JINNIU ENERGY  RESOURCES CO.,LTD.",B01,101020,河北省邢台市中兴西大街191号
938,清华紫光股份有限公司,"TSINGHUA UNISPLENDOUR CO.,LTD.",G,452020,北京市海淀区清华大学紫光大楼
939,武汉凯迪电力股份有限公司,"WUHAN KAIDI ELECTRIC POWER CO.,LTD.",D01,202010,武汉市武昌区武珞珞586号江天大厦22楼
948,云南南天电子信息产业股份有限公司,"YUNNAN NANTIAN ELECTRONICS INFORMATION CO.,LTD.",G87,451020,云南省昆明市高新技术产业开发区软件园创新大厦
949,新乡化纤股份有限公司,"XINXIANG  CHEMICAL  FIBER  CO., LTD.",C47,151010,河南省新乡市凤泉区锦园路
950,重庆民丰农化股份有限公司,"CHONGQING MIN-FENG AGROCHEM CO.,LTD(CMF)",C43,151010,重庆市涪陵区白涛镇
951,山东小鸭电器股份有限公司,"CNHTC JINAN TRUCK CO., LTD.",C75,251020,山东济南市市中区党家庄镇南首
952,湖北广济药业股份有限公司,"HUBEI GUANGJI PHARMACEUTICAL CO.,LTD.",C81,352020,湖北省武穴市江堤路1号
953,广西河池化工股份有限公司,"GUANGXI HECHI CHEMICAL Co.,Ltd",C43,151010,广西壮族自治区河池市六甲镇
955,海南欣龙无纺股份有限公司,"HAINAN XINLONG NONWOVENS CO.,LTD.",C13,252030,海南省澄迈县老城工业开发区
956,中国石化中原油气高新股份有限公司,"SINOPEC ZHONGYUAN PETROLEUM CO.,LTD.",B03,101020,河南省郑州高新技术产业开发区瑞达路87 号
957,中通客车控股股份有限公司,"ZHONG TONG BUS & HOLDING CO.,LTD",C75,251020,山东省聊城市建设东路10号
958,石家庄东方热电股份有限公司,"SHIJIAZHUANG DONGFANG THERMOELECTRIC CO.,LTD.",D01,551010,河北省石家庄市建华南大街161号
959,北京首钢股份有限公司,"BEIJING SHOUGANG CO.,LTD",C65,151040,北京市石景山区石景山路
960,云南锡业股份有限公司,"YUNNAN TIN CO.,LTD.",C67,151040,昆明高新技术产业开发区
961,大连金牛股份有限公司,"DALIAN JINNIU CO.,LTD",C65,151040,辽宁省大连市甘井子区工兴路4号
962,宁夏东方钽业股份有限公司,"NINGXIA ORIENT TANTALUM INDUSTRY CO.,LTD.",C67,151040,宁夏回族自治区石嘴山市大武口区冶金路
963,华东医药股份有限公司,"HUADONG MEDICINE CO.,LTD",C81,351010,浙江省杭州市下城区中山北路439号
965,天津水泥股份有限公司,"TIANJIN CEMENT CO,.LTD",C61,151020,天津市和平区贵州路4号
966,湖北长源电力发展股份有限公司,"GUODIAN CHANGYUAN ELECTRIC POWER CO.,LTD.",D,551010,湖北省武汉市武昌区徐东路45号
967,浙江上风实业股份有限公司,ZHEJIANGSHANGFENGINDUSTRIALHOLDINGSCO．，LTD．,C71,201060,浙江省上虞市上浦镇
968,山西神州煤电焦化股份有限公司,"Taiyuan Coal Gasification Company,Limited",B01,101020,太原市和平南路83号
969,安泰科技股份有限公司,"ADAVANCED TECHNOLOGY ＆ MATERIALS CO.,LTD.",C99,151040,北京市海淀区学院南路76号
970,北京中科三环高技术股份有限公司,"BEIJINGZHONGKESANHUANHIGH－TECH.CO.,LTD",C67,151040,北京市海淀区中关村南大街1号友谊宾馆迎宾楼D座
971,湖北迈亚股份有限公司,"HUBEI MATYA CO,.LTD",C11,252030,湖北省仙桃市勉阳大道131号
972,新疆中基实业股份有限公司,"XINGJIANG  CHALKIS  CO.,LTD.",A01,302020,新疆乌鲁木齐市青年路17号
973,佛山塑料集团股份有限公司,"FOSHAN PLASTICS GROUP CO.,LTD",C49,151010,广东省佛山市汾江中路82号
975,南方科学城发展股份有限公司,"Science City Development Public Co.,Ltd.",K01,551040,重庆市黔江开发区黔江县联合镇西山坪水井湾东侧
976,广东开平春晖股份有限公司,"GUANGDONG KAIPING CHUNHUI CO., LTD.",C11,151010,中国广东省开平市长沙港口路10号
977,浪潮电子信息产业股份有限公司,"LANG CHAO ELECTRONIC INFORMATION INDUSTRY CO.,LTD.",G83,452020,中国山东省济南市山大路224号
978,桂林旅游股份有限公司,GUILIN TOURISM CORPORATION LIMITED,K34,253010,广西桂林市榕湖北路十七号
979,安徽省科苑（集团）股份有限公司,"ANHUI KOYO (GROUP) CO.,LTD.",C43,151020,安徽省宿州市浍水路271号
980,黄山金马股份有限公司,"HUANGSHAN JINMA CO., LTD.",C78,251010,黄山市歙县壕城路1号
981,甘肃兰光科技股份有限公司,"GANSU LANGUANG SCIENCE ＆ TECHNOLOGY CO.,LTD.",G81,452020,中国甘肃省兰州市城关区天水路318号兰州大学科技广场
982,宁夏圣雪绒股份有限公司,"NINGXIA ST.EDENWEISS CO.,LTD",C11,252030,宁夏回族自治区银川市解放西街363 号
983,山西西山煤电股份有限公司,"SHANXI XISHAN COAL AND ELECTRICITY POWER CO.,LTD",B01,101020,山西省太原市西矿街319号
985,大庆华科(集团)股份有限公司,DAQING HUAKE COMPANY LIMITED,C43,151010,大庆高新技术产业开发区建设路239 号
987,广州友谊商店股份有限公司,"GUANGZHOU FRIENDSHIP CO.,LTD",H11,255030,广东省广州市环市东路369号
988,华工科技产业股份有限公司,HUAGONG  TECH  COMPANY  LIMITED,C5,452030,湖北省武汉市东湖高新技术开发区华中科技大学科技园
989,湖南九芝堂股份有限公司,"JIUZHITANG CO,.LTD.",C81,352020,湖南省长沙市芙蓉中路一段129 号
990,诚志股份有限公司,"CHENGZHI CO., LTD.",C8,352020,江西省南昌市庐山中大道60号
993,福建闽东电力股份有限公司,Fujian Mingdong Electric Power Limited Company,D01,551010,福建省宁德市蕉城区环城路闽东大广场华隆大厦8
995,甘肃皇台酒业股份有限公司,"GANSU HUANGTAI WINE-MARKETING INDUSTRY CO.,LTD.",C0,302010,甘肃省武威市西关街新建路55号
996,捷利实业股份有限公司,"JIELEE INDUSTRY CO.,LTD",F03,203040,哈尔滨市南岗区宣义街1 号
997,福建新大陆电脑股份有限公司,"FUJIAN NEWLAND COMPUTER CO.,LTD",G87,451030,福建省福州市马尾儒江大道1号
998,袁隆平农业高科技股份有限公司,"YUAN LONGPING HIGH-TECH AGRICUL TURE CO,.LTD.",A01,302020,湖南省长沙市芙蓉区远大二路马坡岭农业高科技园内
999,三九医药股份有限公司,"SANJIU MEDICAL & PHARMACEUTICAL CO,.LTD.",C81,352020,广东省深圳市罗湖区银湖路口（北环大道1028号）
1696,成都宗申热动力机械股份有限公司,"CHENGDU ZONG SHEN THERMAL IMPETUS MACHINERY CO.,LTD",C75,251020,四川省成都市双流县东升镇涧漕村
1896,河南豫能控股股份有限公司,"HENAN YUNENG HODINGS CO.,LTD.",D01,551010,郑州高新技术产业开发区合欢街6号
2001,浙江新和成股份有限公司,"Zhejiang NHU Co., Ltd",C43,151010,浙江省新昌县城关镇江北路4 号
2002,江苏琼花高科技股份有限公司,"Jiangsu Qionghua High-Tech Co., Ltd.",C49,151010,江苏省扬州市邗江区杭集镇曙光路
2003,浙江伟星实业发展股份有限公司,"Zhejiang Weixing industrial development Co., Ltd.",C99,252030,浙江省临海市花园工业区
2004,重庆华邦制药股份有限公司,"CHONGQING HUAPONT PHARM. CO., LTD",C81,352020,重庆市歇台子南方花园科园四街55 号
2005,广东德豪润达电气股份有限公司,"Elec-Tech International Co.,LTD.",C76,252010,广东省珠海市香洲区唐家湾镇金凤路1 号
2006,浙江精工科技股份有限公司,"ZHEJIANG JINGGONG SCIENCE & TECHNOLOGY CO.,LTD.",C73,201060,浙江省绍兴县柯桥镇柯西工业区
2007,华兰生物工程股份有限公司,"HUALAN BIOLOGICAL ENGINEERING,INC.",C85,352010,新乡市华兰大道甲1 号
2008,深圳市大族激光科技股份有限公司,"Han’s Laser Technology Co.,Ltd.",C57,452030,深圳市南山区高新科技园松坪山工厂区5号路8号
2009,江苏天奇物流系统工程股份有限公司,"Jiangsu Miracle Logistics System Engineering Co., Ltd.",C73,201060,江苏省无锡市惠山区洛社镇人民南路
2010,浙江传化股份有限公司,"Zhejiang Transfar Co.,Ltd.",C43,151010,杭州市萧山经济技术开发区
2011,浙江盾安人工环境设备股份有限公司,"ZHEJIANG DUNAN ARTIFICIAL ENVIRONMENT EQUIPMENT CO.,LTD.",C71,201060,浙江省诸暨市店口工业区
2012,浙江凯恩特种材料股份有限公司,"ZHEJIANG KAN SPECIALITIES MATERIAL CO., LTD.",C31,151050,浙江省遂昌县凯恩路108 号
2013,湖北中航精机科技股份有限公司,"Hubei Aviation Precision Machinery Technology Co., Ltd.",C75,251010,湖北省襄樊市高新技术开发区江山南路
2014,黄山永新股份有限公司,"HUANGSHAN NOVEL CO.,LTD",C49,151030,安徽省黄山市徽州区徽州东路188 号
2015,江苏霞客环保色纺股份有限公司,"Xiake Color Spinning Co., Ltd",C11,252030,NA
2016,广东威尔医学科技股份有限公司,"Guangdong Well Medicine Science & Technology Co.,Ltd.",C73,351010,广东省珠海市南屏南湾大道西侧北山变电站北侧威尔生产办公楼
2017,珠海东信和平智能卡股份有限公司,"Zhuhai Eastcom Peace Smart Card Co.,LTD.",C99,452010,广东省珠海市南屏科技工业园屏工中路8 号
2018,安徽华星化工股份有限公司,"ANHUI HUAXING CHEMICAL INDUSTRY CO., LTD.",C43,151010,NA
2019,浙江鑫富生化股份有限公司,"Zhejiang Xinfu Biochemical Co., Ltd.",C43,352020,浙江省临安市玲珑经济开发区
2020,浙江京新药业股份有限公司,"ZHEJIANG JINGXIN PHARMACEUTICAL CO.,LTD.",C81,352020,浙江省新昌县城关镇大道东路800号
2021,中捷缝纫机股份有限公司,"ZoJe Sewing Machine co.,Ltd",C73,201060,浙江省玉环县珠港镇陈屿北山村
2022,上海科华生物工程股份有限公司,"Shanghai Kehua Bio-Engineering Co., Ltd.",C85,352010,上海市钦州北路1189 号
2023,四川海特高新技术股份有限公司,"Sichuan Haite High-tech Co., Ltd.",F11,203050,成都市高新区高朋大道21 号
2024,苏宁电器连锁集团股份有限公司,"Suning Appliance Chain Store (Group) Co., Ltd.",H11,255040,江苏省南京市山西路8 号金山大厦1-5 层
2025,贵州航天电器股份有限公司,"Guizhou Space Appliance Co.,LTD.",C51,452030,贵州省遵义市红花岗区新蒲镇
2026,山东威达机械股份有限公司,"SHANDONG WEIDA MACHINERY CO.,LTD.",C69,201060,山东省文登市蔄山镇中韩路2 号
2027,广州七喜电脑股份有限公司,"Hedy Computer Co., Ltd.",G83,452020,广州市天河区天河北路908 号高科大厦B 栋七层
2028,上海思源电气股份有限公司,"SHANGHAI SIYUAN ELECTRIC CO., LTD.",C76,201040,上海市闵行区金都路4399 号
2029,福建七匹狼实业股份有限公司,"FUJIAN SEPTWOLVES INDUSTRY CO.,LTD.",C13,252030,福建省晋江市金井镇南工业区
2030,中山大学达安基因股份有限公司,"DA AN GENE CO.,LTD. OF SUN YAT-SEN UNIVERSITY",C85,352010,广州市高新技术开发区香山路19号
2031,广东巨轮模具股份有限公司,NA,C73,201060,NA
2032,浙江苏泊尔炊具股份有限公司,"ZheJiang Supor Cookware CO.,LTD",C69,252010,浙江省玉环县大麦屿经济开发区
2033,丽江玉龙旅游股份有限公司,"LiJiang YuLong Tourism Co.,LTD.",K34,253010,云南省丽江市福慧路
2034,浙江美欣达印染集团股份有限公司,"ZHEJIANG MIZUDA PRINTING&DYEING GROUP CO.,LTD.",C11,252030,浙江省湖州市凤凰路888 号
2035,中山华帝燃具股份有限公司,"Zhongshan Vantage Gas Appliance Stock Co.,Ltd.",C69,252010,广东省中山市小榄镇九洲工业开发区
2036,宁波宜科科技实业股份有限公司,"NingBo YAK Technology Industrial CO.,LTD.",C13,252030,宁波市鄞州区雅源南路501 号
2037,贵州久联民爆器材发展股份有限公司,"GUIZHOU JIULIAN INDUSTRIAL EXPLOSIVE MATERIAL DEVELOPMENT CO.,LTD",C4,151010,贵阳市高新技术开发区新天园区
2038,北京双鹭药业股份有限公司,"Beijing SL Pharmaceutical Co.,Ltd.",C85,352020,北京市海淀区西三环北路100 号金玉大厦1103-1105 室
2039,贵州黔源电力股份有限公司,"Guizhou Qianyuan Power Co.,Ltd",D01,551010,贵州省贵阳市新华路126号
2040,南京港股份有限公司,"Nanjing Port Co.,Ltd.",F11,203050,江苏省南京市和燕路251号金港大厦A 座1904室
2041,山东登海种业股份有限公司,"Shandong Denghai Seeds Co.,Ltd",A01,302020,山东省莱州市农科院城山路西侧
2042,安徽飞亚纺织发展股份有限公司,"ANHUI FEIYA TEXTILE DEVELOPMENT CO., LTD.",C1,252030,安徽省淮北市濉溪路庆相桥
2043,德华兔宝宝装饰新材股份有限公司,"DEHUA TB NEW DECORATION MATERIAL CO.,LTD.",C21,252010,浙江省德清县洛舍镇工业区
2044,江苏三友集团股份有限公司,"JIANGSU SANYOU GROUP CO.,LTD.",C1,252030,江苏省南通市人民东路218 号
2045,国光电器股份有限公司,"Guoguang Electric  Co.,Ltd.",C51,252010,广州市花都区雅瑶镇雅源南路58号
2046,洛阳轴研科技股份有限公司,"LUOYANG BEARING SCIENCE & TECHNOLOGY CO.,LTD.",C71,201060,河南省洛阳高新技术开发区丰华路6号
2047,深圳成霖洁具股份有限公司,SHENZHEN GLOBE UNION INDUSTRIAL CORP.,C69,252010,深圳市宝安区观澜镇
2048,宁波华翔电子股份有限公司,"NINGBO HUAXIANG ELECTRONIC CO., LTD",C75,251010,浙江省象山县西周镇象西开发区
2049,唐山晶源裕丰电子股份有限公司,"TANGSHAN JINGYUAN YUFENG ELECTRONICS CO.,LTD.",C51,452030,河北省玉田县无终西街3129号
2050,浙江三花股份有限公司,"ZHEJIANG SANHUA CO.,LTD.",C71,201060,浙江省新昌县城关镇下礼泉
2051,中工国际工程股份有限公司,"CHINA CAMC ENGINEERING CO., LTD.",K,201030,NA
2052,深圳市同洲电子股份有限公司,"SHENZHEN COSHIP ELECTRONICS CO.,LTD.",G81,252010,NA
2053,云南盐化股份有限公司,"YUNNAN SALT &CHEMICAL INDUSTRY CO.,LTD.",C01,151010,NA
2054,广东德美精细化工股份有限公司,DYMATIC CHEMICALS，INC.,C43,151010,NA
2055,深圳市得润电子股份有限公司,"SHENZHEN DEREN ELECTRONIC CO.,LTD.",C51,452030,NA
2056,横店集团东磁股份有限公司,"HENGDIAN GROUP DMEGC MAGNETICS CO., LTD",C51,151040,NA
2057,中钢集团安徽天源科技股份有限公司,"SINOSTEEL ANHUI TIANYUAN TECHNOLOGY CO.,LTD",C43,151040,NA
2058,上海威尔泰工业自动化股份有限公司,"SHANGHAI WELLTECH AUTOMATION CO.,LTD.",C78,201060,NA
2059,昆明世博园股份有限公司,"KUNMING HORTI-EXPO GARDEN CO.,LTD.",K34,253010,NA
2060,广东水电二局股份有限公司,"GUANGDONG NO.2 HYDROPOWER ENGINEERING COMPANY,LTD",E01,201030,NA
2061,浙江江山化工股份有限公司,"ZHEJIANG JIANGSHAN CHEMICAL CO., LTD.",C43,151010,NA
2062,宏润建设集团股份有限公司,"HONGRUN CONSTRUCTION GROUP CO., LTD",E01,201030,NA
2063,广东远光软件股份有限公司,GUANGDONG YGSOFT INC,G87,451030,NA
2064,浙江华峰氨纶股份有限公司,"ZHEJIANG HUAFENG SPANDEX CO., LTD",C47,151010,NA
2065,北京东华合创数码科技股份有限公司,"BEIJING DHC DIGITAL TECHNOLOGY CO., LTD.",G87,451030,NA
2066,北京瑞泰高温材料科技股份有限公司,"BEIJING RUITAI HIGH-TEMPERATURE MATERIALS &TECHNOLOGY CO., LTD.",C61,151040,NA
2067,浙江景兴纸业股份有限公司,"ZHEJIANG JINGXING PAPER JOINT STOCK CO.,LTD.",C31,151050,NA
2068,江西黑猫炭黑股份有限公司,"JIANGXI BLACK CAT CARBON BLACK CO., LTD.",C43,151010,NA
2069,大连獐子岛渔业集团股份有限公司,"DALIAN ZHANGZIDAO FISHERY GROUP CO., LTD.",A07,302020,NA
2070,福建众和股份有限公司,"ZHONGHE CO., LTD.",C11,252030,NA
2071,江苏宏宝五金股份有限公司,"JIANGSU HONGBAO HARDWARE CO.,LTD.",C69,201060,NA
2072,山东德棉股份有限公司,SHANDONG DEMIAN INCORPORATED COMPANY,C11,252030,NA
2073,青岛高校软控股份有限公司,"Qingdao Mesnac Co.,Ltd",C73,451030,NA
2074,江苏东源电器集团股份有限公司,"Jiangsu Dongyuan Electrical Group Co.,Ltd",C76,201040,NA
2075,高新张铜股份有限公司,"GAOXIN ZHANGTONG CO.,LTD",C67,151040,NA
2076,广东雪莱特光电科技股份有限公司,"GUANGDONG BRIGHT STAR LIGHT&ELECTRICITY CO., LTD",C55,252010,NA
2077,江苏大港股份有限公司,"JIANGSU DAGANG CO.,LTD.",M,201050,NA
2078,山东太阳纸业股份有限公司,"SHAN DONG SUN PAPER INDUSTRY JOINT STOCK CO., LTD.",C31,151050,NA
2079,苏州固锝电子股份有限公司,"SUZHOU GOOD-ARK ELECTRONICS CO.,LTD",C51,453010,NA
2080,中材科技股份有限公司,"SINOMA SCIENCE & TECHNOLOGY CO.,LTD",C61,201020,NA
2081,苏州金螳螂建筑装饰股份有限公司,"SUZHOU GOLD MANTIS CONSTRUCTION DECORATION CO., LTD.",E05,201030,NA
2082,浙江栋梁新材股份有限公司,ZHE JIANG DONGLIANG NEW BUILDING MATERIALS CO.，LTD,C67,151020,NA
2083,孚日集团股份有限公司,"SUNVIM GROUP CO., LTD",C11,252030,NA
2084,广州海鸥卫浴用品股份有限公司,"GuangZhou Seagull Kitchen And Bath Products Co.,Ltd.",C69,252010,NA
2085,浙江万丰奥威汽轮股份有限公司,"ZHEJIANG WANFENG AUTO WHEEL CO., LTD.",C75,251010,NA
2086,山东东方海洋科技股份有限公司,"Shandong Oriental Ocean Sci-Tech Co., Ltd",A07,302020,NA
2087,河南新野纺织股份有限公司,"HENAN XINYE TEXTILE CO.,LTD.",C11,252030,NA
2088,山东鲁阳股份有限公司,"SHANDONG LUYANG SHARE CO.,LTD.",C61,151040,NA
2089,苏州工业园区新海宜电信发展股份有限公司,"SUZHOU INDUSTRIAL PARK NEW SEA UNION TELECOM DEVELOPMENT CO., LTD",G81,452010,NA
2090,江苏金智科技股份有限公司,"Wiscom System Co.,Ltd.",G87,451020,NA
2091,江苏国泰国际集团国贸股份有限公司,"JIANGSU GUOTAI INTERNATIONAL GROUP GUOMAO CO., LTD",H21,201070,NA
2092,新疆中泰化学股份有限公司,"XINJIANG ZHONGTAI CHEMICAL CO., LTD.",C43,151010,NA
2093,国脉科技股份有限公司,"Guomai Technologies,Inc.",G85,451020,NA
2094,青岛金王应用化学股份有限公司,"Qingdao Kingking Applied Chemistry Co., Ltd.",C99,151010,NA
2095,浙江网盛科技股份有限公司,"Zhejiang NetSun Co., Ltd.",G87,451010,NA
2096,湖南南岭民用爆破器材股份有限公司,"Hunan Nanling Industry Explosive Material Co.,LTD",C43,151010,NA
2097,湖南山河智能机械股份有限公司,"HUNAN SUNWARD INTELLIGENT MACHINERY CO.,LTD.",C73,201060,NA
2098,福建浔兴拉链科技股份有限公司,"FUJIAN SBS ZIPPER SCIENCE&TECHNOLOGY CO., LTD",C99,252030,NA
2099,浙江海翔药业股份有限公司,"ZHEJIANG HISOAR PHARMACEUTICAL CO.,LTD.",C81,352020,NA
2100,新疆天康畜牧生物技术股份有限公司,"XINJIANG TIANKANG ANIMAL SCIENCE BIO-TECHNOLOGY Co,. Ltd.",C01,302020,NA
2101,广东鸿图科技股份有限公司,"Guangdong Hongtu Technology (holdings) Co.,Ltd.",C71,201060,NA
2102,福建冠福现代家用股份有限公司,"Fujian Guanfu Modern Household Wares Co.,Ltd",C61,252010,NA
2103,浙江广博集团股份有限公司,NA,C37,202010,NA
2104,恒宝股份有限公司,"HENGBAO CO., LTD.",C99,452030,NA
2105,深圳信隆实业股份有限公司,NA,C37,252020,NA
2106,深圳莱宝高科技股份有限公司,NA,C51,452030,NA
2107,山东沃华医药科技股份有限公司,NA,C81,352020,NA
2108,沧州明珠塑料股份有限公司,NA,C55,151010,NA
2109,陕西兴化化学股份有限公司,NA,C43,151010,NA
2110,福建三钢闽光股份有限公司,NA,C65,151040,NA
2111,威海广泰空港设备股份有限公司,NA,C73,201060,NA
2112,三变科技股份有限公司,NA,C76,201040,NA
2113,湖南天润化工发展股份有限公司,"Hunan Tianrun Chemical Industry Developing Co., Ltd.",C43,151010,NA
2114,云南罗平锌电股份有限公司,NA,C67,151040,NA
2115,浙江三维通信股份有限公司,NA,G81,452010,NA
2116,中国海诚工程科技股份有限公司,NA,K20,201030,NA
2117,东港安全印刷股份有限公司,NA,C35,202010,NA
2119,宁波康强电子股份有限公司,"Ningbo Kangqiang Electronics Co., Ltd.",C51,452030,NA
2120,宁波新海电气股份有限公司,"NINGBO XINHAI ELECTRIC CO.,LTD",C99,252010,NA
2121,深圳市科陆电子科技股份有限公司,"SHENZHEN CLOU ELECTRONICS CO.,LTD.",C57,201060,NA
2122,浙江天马轴承股份有限公司,"ZHEJIANG TIANMA BEARING CO.,LTD.",C71,201060,NA
2123,荣信电力电子股份有限公司,"Rongxin Power Electronic Co., Ltd",C76,201040,NA
2124,宁波天邦股份有限公司,NA,C01,302020,NA
2125,湘潭电化科技股份有限公司,"XIANGTAN ELECTROCHEMICAL SCIENTIFIC CO.,LTD.",C43,151040,NA
2126,浙江银轮机械股份有限公司,"Zhejiang Yinlun Machinery CO.,LTD",C75,251010,NA
2127,江苏新民纺织科技股份有限公司,"Jiangsu Xinmin Textile Science & Technology Co., Ltd.",C11,252030,NA
2128,内蒙古霍林河露天煤业股份有限公司,HUOLINHE OPENCUT COAL INDUSTRY CORPORATION LIMITED OF INNER MONGOLIA,B01,101020,NA
2129,天津中环半导体股份有限公司,"TIANJIN ZHONGHUAN SEMICONDUCTOR CO., LTD.",C51,453010,NA
2130,深圳市沃尔核材股份有限公司,"SHENZHEN WOER HEAT-SHRINKABLE MATERIAL CO.,LTD.",C99,201040,NA
2131,浙江利欧股份有限公司,"ZHEJIANG LEO CO., LTD.",C73,201060,NA
2132,河南恒星科技股份有限公司,"Henan Hengxing Science & Technology CO.,LTD.",C69,151040,NA
2133,广宇集团股份有限公司,"Cosmos Group Co., Ltd.",J01,404030,NA
2134,天津普林电路股份有限公司,TIANJIN PRINTRONICS CIRCUIT CORPORATION,C51,452030,NA
2135,浙江东南网架股份有限公司,"Zhejiang Southeast Space Frame Co.,Ltd.",E,201020,NA
