股票代码,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地
600096,云南云天化股份有限公司,"YUNNAN YUNTIANHUA CO.,LTD.",C43,151010,云南省水富县云富镇
600097,浙江华立科技股份有限公司,"ZHEJIANG HOLLEY TECHNOLOGY CO.,LTD.",C76,201040,杭州市高新技术产业开发区西斗门工业区
600098,广州发展实业控股集团股份有限公司,"GUANGZHOU DEVELOPMENT INDUSTRY (HOLDINGS) CO.,LTD.",D01,551010,中国广东省广州市东风中路509号27、29楼
600099,林海股份有限公司,"LINHAI CO.,LTD.",C75,251020,江苏省泰州市泰九路14号
600100,清华同方股份有限公司,"TSINGHUA TONGFANG CO.,LTD",G87,452020,北京市海淀区清华同方科技大厦A座
600101,四川明星电力股份有限公司,"SHCHUAN MINGXING ELECTRIC POWER CO.,LTD.",D01,551010,四川省遂宁市明月路88号
600102,莱芜钢铁股份有限公司,LAIWU STEEL CORPORATION,C65,151040,山东省莱芜市钢城区
600103,福建省青山纸业股份有限公司,"FUJIAN QINGSHAN PAPER INDUSTRY CO.,LTD.",C31,151050,福建省福州市五一北路171号新都会花园广场16层
600104,上海汽车股份有限公司,"SHANGHAI AUTOMOTIVE CO.,LTD.",C75,251020,上海浦东新区碧波路18号
600105,江苏永鼎股份有限公司,JIANGSU YONGDING COMPANY LIMITED,G81,452010,江苏省吴江市芦墟镇318国道72K北侧
600106,重庆路桥股份有限公司,"CHONGQING ROAD &BRIDGE CO.,LTD",F11,203050,重庆市南岸区经济技术开发区丹龙路11
600107,湖北美尔雅股份有限公司,"HUBEI MAILYARD SHARE CO.,LTD.",C13,252030,湖北省黄石市消防路29号
600108,甘肃亚盛实业(集团)股份有限公司,"GANSU YASHENG INDUSTRIAL (GROUP) CO.,LTD.",A01,302020,甘肃省兰州市张掖路219号基隆大厦20楼
600109,成都百货(集团)股份有限公司,"CHENGDU CITY CONSTRUCTION CO., LTD",M,201030,成都市青羊区小河街12号
600110,中科英华高技术股份有限公司,"CHINA-KINWA HIGH TECHNOLOGY CO.,LTD.",C99,151010,吉林省长春市高新技术开发区火炬路286号
600111,内蒙古包钢稀土高科技股份有限公司,"INNER  MONGOLIA  BAOTOU  STEEL RARE-EARTH HI-TECH  CO.,LTD.",C67,151040,内蒙古包头稀土高新技术产业开发区
600112,贵州长征电器股份有限公司,"GUIZHOU CHANGZHEN ELECTRICAL APPARATUS CO.,LTD.",C76,201040,贵州省遵义市上海路100号
600113,浙江东日股份有限公司,ZHE JIANG DONG RI LLIMTED COMPANY,C99,404030,浙江省温州市矮凳桥92号
600114,宁波东睦新材料股份有限公司,"NINGBO TONGMUO NEW MATERIALS CO., LTD.",C69,251010,宁波市江东南路147 号
600115,中国东方航空股份有限公司,CHINA EASTERN AIRLINES CORPORATION LIMITED,F09,203020,上海市浦东国际机场机场大道66 号
600116,重庆三峡水利电力(集团)股份有限公司,"CNONGQING THREE GORGES WATER CONSERVANCY AND ELECTRIC POWER CO.,LTD",D01,551010,重庆市万州区鸽子沟72号
600117,西宁特殊钢股份有限公司,"XINING SPECIAL STEEL CO.,LTD",C65,151040,青海省西宁市柴达木西路52号
