股票代码,年度,金额最高的前三名董事的报酬总额,金额最高的前三名高级管理人员的报酬总额,独立董事津贴,审计委员会,薪酬与考核委员会,战略委员会,提名委员会,董事会的规模,监事会的规模,年度股东大会的参会股东人数,独立董事总人数
560,1998,-95,-95,-95,0,0,0,0,9,5,14,0
561,1998,-95,-95,-95,0,0,0,0,15,5,54,0
562,1998,-95,-95,-95,0,0,0,0,11,5,11,0
563,1998,-95,-95,-95,0,0,0,0,5,3,13,0
564,1998,-95,-95,-95,0,0,0,0,11,5,19,0
565,1998,-95,-95,-95,0,0,0,0,9,7,91,0
566,1998,-95,-95,-95,0,0,0,0,9,5,14,0
567,1998,-95,-95,-95,0,0,0,0,9,5,24,0
568,1998,-95,-95,-95,0,0,0,0,6,5,39,0
569,1998,-95,-95,-95,0,0,0,0,11,5,15,0
570,1998,-95,-95,-95,0,0,0,0,7,5,61,0
571,1998,-95,-95,-95,0,0,0,0,9,5,4,0
572,1998,-95,-95,-95,0,0,0,0,9,5,20,0
573,1998,-95,-95,-95,0,0,0,0,5,5,90,0
576,1998,146080,146080,-95,0,0,0,0,9,5,103,0
578,1998,85807,85807,-95,0,0,0,0,13,5,24,0
581,1998,-95,-95,-95,0,0,0,0,15,5,-95,0
582,1998,-95,-95,-95,0,0,0,0,9,5,51,0
583,1998,-95,-95,-95,0,0,0,0,9,5,13,0
584,1998,-95,-95,-95,0,0,0,0,12,5,81,0
585,1998,-95,-95,-95,0,0,0,0,9,5,62,4
586,1998,-95,-95,-95,0,0,0,0,10,3,34,0
587,1998,-95,-95,-95,0,0,0,0,7,5,16,0
588,1998,80000,80000,-95,0,0,0,0,11,3,95,0
589,1998,-95,-95,-95,0,0,0,0,7,3,41,0
590,1998,-95,-95,-95,0,0,0,0,13,5,132,0
591,1998,-95,-95,-95,0,0,0,0,17,10,73,0
592,1998,-95,-95,-95,0,0,0,0,7,3,24,0
593,1998,-95,-95,-95,0,0,0,0,9,5,38,0
594,1998,-95,-95,-95,0,0,0,0,9,5,23,0
595,1998,-95,-95,-95,0,0,0,0,11,5,21,0
596,1998,-95,-95,-95,0,0,0,0,7,2,14,0
597,1998,-95,-95,-95,0,0,0,0,10,5,17,0
598,1998,-95,-95,-95,0,0,0,0,7,3,52,0
599,1998,-95,-95,-95,0,0,0,0,7,5,11,0
600,1998,-95,-95,-95,0,0,0,0,7,4,32,0
601,1998,-95,-95,-95,0,0,0,0,13,6,160,0
602,1998,-95,-95,-95,0,0,0,0,9,3,80,0
603,1998,88000,-95,-95,0,0,0,0,6,3,34,0
605,1998,-95,-95,-95,0,0,0,0,7,3,10,0
606,1998,-95,-95,-95,0,0,0,0,9,4,7,0
607,1998,-95,-95,-95,0,0,0,0,7,7,32,0
608,1998,-95,-95,-95,0,0,0,0,7,3,5,0
609,1998,-95,-95,-95,0,0,0,0,9,5,17,0
610,1998,64185,-95,-95,0,0,0,0,9,7,20,0
611,1998,-95,-95,-95,0,0,0,0,9,5,165,0
612,1998,-95,-95,-95,0,0,0,0,7,4,149,0
613,1998,13660,14100,-95,0,0,0,0,9,5,60,0
615,1998,-95,-95,-95,0,0,0,0,16,5,36,0
616,1998,-95,-95,-95,0,0,0,0,9,3,17,0
617,1998,-95,-95,-95,0,0,0,0,7,3,19,0
618,1998,-95,-95,-95,0,0,0,0,17,4,2,0
619,1998,-95,-95,-95,0,0,0,0,7,3,31,0
620,1998,-95,-95,-95,0,0,0,0,12,5,23,0
621,1998,-95,-95,-95,0,0,0,0,13,6,15,0
622,1998,-95,-95,-95,0,0,0,0,9,1,39,0
623,1998,-95,-95,-95,0,0,0,0,13,5,46,0
625,1998,-95,-95,-95,0,0,0,0,11,5,6,0
626,1998,-95,-95,-95,0,0,0,0,11,5,-95,0
627,1998,-95,-95,-95,0,0,0,0,9,5,25,0
628,1998,-95,-95,-95,0,0,0,0,11,3,23,0
629,1998,-95,-95,-95,0,0,0,0,13,5,135,0
630,1998,-95,-95,-95,0,0,0,0,13,7,39,0
631,1998,-95,-95,-95,0,0,0,0,9,3,33,0
632,1998,-95,-95,-95,0,0,0,0,7,3,24,0
633,1998,-95,-95,-95,0,0,0,0,9,4,-95,0
635,1998,-95,-95,-95,0,0,0,0,9,5,10,0
636,1998,-95,-95,-95,0,0,0,0,13,3,15,0
637,1998,-95,-95,-95,0,0,0,0,17,5,55,0
638,1998,-95,-95,-95,0,0,0,0,9,5,26,0
639,1998,-95,-95,-95,0,0,0,0,13,5,35,0
650,1998,-95,-95,-95,0,0,0,0,7,5,36,0
651,1998,-95,-95,-95,0,0,0,0,5,3,15,0
652,1998,-95,-95,-95,0,0,0,0,7,4,37,0
653,1998,-95,-95,-95,0,0,0,0,13,6,179,0
655,1998,-95,-95,-95,0,0,0,0,9,5,30,0
656,1998,-95,-95,-95,0,0,0,0,10,5,14,0
657,1998,-95,-95,-95,0,0,0,0,11,5,36,0
658,1998,-95,-95,-95,0,0,0,0,8,5,16,0
659,1998,-95,-95,-95,0,0,0,0,9,3,60,0
660,1998,-95,-95,-95,0,0,0,0,11,5,31,0
661,1998,-95,-95,-95,0,0,0,0,11,3,47,0
662,1998,-95,-95,-95,0,0,0,0,9,3,16,0
663,1998,-95,-95,-95,0,0,0,0,7,3,21,0
665,1998,-95,-95,-95,0,0,0,0,11,5,15,0
666,1998,-95,-95,-95,0,0,0,0,11,5,1,0
667,1998,-95,-95,-95,0,0,0,0,7,3,14,0
668,1998,-95,-95,-95,0,0,0,0,13,5,33,0
669,1998,-95,-95,-95,0,0,0,0,7,5,18,0
670,1998,-95,-95,-95,0,0,0,0,9,5,47,0
671,1998,-95,-95,-95,0,0,0,0,11,5,16,0
672,1998,-95,-95,-95,0,0,0,0,17,5,18,0
673,1998,-95,-95,-95,0,0,0,0,9,7,15,0
675,1998,-95,-95,-95,0,0,0,0,15,8,57,0
676,1998,-95,-95,-95,0,0,0,0,5,3,14,0
677,1998,-95,-95,-95,0,0,0,0,11,5,-95,0
678,1998,-95,-95,-95,0,0,0,0,16,3,90,0
679,1998,-95,-95,-95,0,0,0,0,12,5,107,0
680,1998,-95,-95,-95,0,0,0,0,12,5,70,0
681,1998,-95,-95,-95,0,0,0,0,9,5,18,0
682,1998,-95,-95,-95,0,0,0,0,10,3,141,0
683,1998,-95,-95,-95,0,0,0,0,13,7,23,0
685,1998,-95,-95,-95,0,0,0,0,9,5,74,0
686,1998,-95,-95,-95,0,0,0,0,7,3,14,0
687,1998,-95,-95,-95,0,0,0,0,9,5,18,0
688,1998,-95,-95,-95,0,0,0,0,11,5,58,0
689,1998,91100,91800,-95,0,0,0,0,6,2,6,0
690,1998,-95,-95,-95,0,0,0,0,11,3,674,0
691,1998,-95,-95,-95,0,0,0,0,7,3,36,0
692,1998,-95,-95,-95,0,0,0,0,13,5,143,0
693,1998,-95,-95,-95,0,0,0,0,7,3,31,0
695,1998,-95,-95,-95,0,0,0,0,8,9,73,0
697,1998,-95,-95,-95,0,0,0,0,7,3,44,0
698,1998,-95,-95,-95,0,0,0,0,9,3,122,0
699,1998,-95,-95,-95,0,0,0,0,13,5,80,0
700,1998,-95,-95,-95,0,0,0,0,7,3,11,0
701,1998,-95,-95,-95,0,0,0,0,7,4,85,0
702,1998,-95,-95,-95,0,0,0,0,7,3,17,0
703,1998,-95,-95,-95,0,0,0,0,9,3,11,0
705,1998,-95,-95,-95,0,0,0,0,9,3,63,0
707,1998,-95,-95,-95,0,0,0,0,18,4,36,0
708,1998,-95,-95,-95,0,0,0,0,11,5,60,0
709,1998,-95,-95,-95,0,0,0,0,7,3,143,0
710,1998,-95,-95,-95,0,0,0,0,7,3,22,0
711,1998,-95,-95,-95,0,0,0,0,8,4,21,0
712,1998,-95,-95,-95,0,0,0,0,8,3,17,0
713,1998,-95,-95,-95,0,0,0,0,7,3,47,0
715,1998,-95,-95,-95,0,0,0,0,8,5,30,0
716,1998,-95,-95,-95,0,0,0,0,8,5,27,0
717,1998,-95,-95,-95,0,0,0,0,8,5,101,0
718,1998,-95,-95,-95,0,0,0,0,7,5,76,0
719,1998,-95,-95,-95,0,0,0,0,7,5,56,0
720,1998,-95,-95,-95,0,0,0,0,9,3,76,0
721,1998,-95,-95,-95,0,0,0,0,9,7,38,0
722,1998,-95,-95,-95,0,0,0,0,13,7,79,0
723,1998,-95,-95,-95,0,0,0,0,11,5,47,0
727,1998,-95,-95,-95,0,0,0,0,7,3,57,0
728,1998,-95,-95,-95,0,0,0,0,10,3,62,0
729,1998,-95,-95,-95,0,0,0,0,13,3,68,0
730,1998,-95,-95,-95,0,0,0,0,6,4,40,0
731,1998,-95,-95,-95,0,0,0,0,7,5,36,0
732,1998,-95,-95,-95,0,0,0,0,9,3,12,0
733,1998,-95,-95,-95,0,0,0,0,10,7,20,0
735,1998,-95,-95,-95,0,0,0,0,11,3,78,0
736,1998,-95,-95,-95,0,0,0,0,7,3,41,0
737,1998,-95,-95,-95,0,0,0,0,7,5,60,0
738,1998,-95,-95,-95,0,0,0,0,9,3,7,0
739,1998,-95,-95,-95,0,0,0,0,9,5,80,0
748,1998,-95,-95,-95,0,0,0,0,11,5,40,0
750,1998,-95,-95,-95,0,0,0,0,5,3,41,0
751,1998,-95,-95,-95,0,0,0,0,19,5,964,0
752,1998,-95,-95,-95,0,0,0,0,10,4,15,0
753,1998,-95,-95,-95,0,0,0,0,9,5,36,0
755,1998,-95,-95,-95,0,0,0,0,15,7,42,0
756,1998,-95,-95,-95,0,0,0,0,12,3,251,0
757,1998,-95,-95,-95,0,0,0,0,13,5,63,0
758,1998,-95,-95,-95,0,0,0,0,5,3,12,0
759,1998,-95,-95,-95,0,0,0,0,13,3,29,0
760,1998,-95,-95,-95,0,0,0,0,9,5,38,0
761,1998,-95,-95,-95,0,0,0,0,9,5,41,0
762,1998,-95,-95,-95,0,0,0,0,11,5,43,0
763,1998,-95,-95,-95,0,0,0,0,11,5,26,0
765,1998,-95,-95,-95,0,0,0,0,15,3,43,0
766,1998,-95,-95,-95,0,0,0,0,15,3,1456,0
767,1998,-95,-95,-95,0,0,0,0,17,7,17,0
768,1998,-95,-95,-95,0,0,0,0,9,3,25,0
769,1998,-95,-95,-95,0,0,0,0,9,3,25,0
776,1998,-95,-95,-95,0,0,0,0,9,3,26,0
777,1998,-95,-95,-95,0,0,0,0,9,5,50,0
778,1998,-95,-95,-95,0,0,0,0,10,4,89,0
779,1998,-95,-95,-95,0,0,0,0,9,5,25,0
780,1998,-95,-95,-95,0,0,0,0,11,3,56,0
782,1998,-95,-95,-95,0,0,0,0,7,3,64,0
783,1998,-95,-95,-95,0,0,0,0,6,3,54,0
785,1998,-95,-95,-95,0,0,0,0,15,3,45,0
786,1998,-95,-95,-95,0,0,0,0,7,3,37,0
787,1998,-95,-95,-95,0,0,0,0,7,3,29,0
788,1998,-95,-95,-95,0,0,0,0,11,7,321,0
789,1998,-95,-95,-95,0,0,0,0,9,5,66,0
790,1998,-95,-95,-95,0,0,0,0,11,3,5,0
791,1998,-95,-95,-95,0,0,0,0,8,5,126,0
792,1998,-95,-95,-95,0,0,0,0,16,2,7,0
793,1998,-95,-95,-95,0,0,0,0,13,5,18,0
795,1998,-95,-95,-95,0,0,0,0,9,3,16,0
796,1998,47263,47263,-95,0,0,0,0,9,4,52,0
797,1998,-95,-95,-95,0,0,0,0,7,5,48,0
798,1998,-95,-95,-95,0,0,0,0,9,5,52,0
799,1998,-95,-95,-95,0,0,0,0,11,5,33,0
800,1998,-95,-95,-95,0,0,0,0,11,5,63,0
801,1998,-95,-95,-95,0,0,0,0,11,3,32,0
802,1998,135600,-95,-95,0,0,0,0,6,3,16,0
803,1998,-95,-95,-95,0,0,0,0,9,3,39,0
805,1998,-95,-95,-95,0,0,0,0,9,7,52,0
806,1998,-95,-95,-95,0,0,0,0,10,5,36,0
807,1998,104127,-95,-95,0,0,0,0,9,5,391,0
809,1998,-95,-95,-95,0,0,0,0,9,5,47,0
810,1998,-95,-95,-95,0,0,0,0,8,3,134,0
811,1998,-95,-95,-95,0,0,0,0,9,3,47,0
812,1998,-95,-95,-95,0,0,0,0,8,2,94,0
813,1998,-95,-95,-95,0,0,0,0,11,4,37,0
815,1998,-95,-95,-95,0,0,0,0,9,3,77,0
816,1998,-95,-95,-95,0,0,0,0,11,5,20,0
817,1998,15000,-95,-95,0,0,0,0,12,5,20,0
818,1998,-95,-95,-95,0,0,0,0,9,5,58,0
819,1998,-95,-95,-95,0,0,0,0,13,7,113,0
820,1998,39000,17900,-95,0,0,0,0,19,5,81,0
821,1998,102000,-95,-95,0,0,0,0,11,7,90,0
822,1998,59110,-95,-95,0,0,0,0,13,5,368,0
823,1998,-95,-95,-95,0,0,0,0,9,3,15,0
825,1998,47003,-95,-95,0,0,0,0,9,5,183,0
826,1998,49104,-95,-95,0,0,0,0,7,3,18,0
827,1998,50100,-95,-95,0,0,0,0,9,3,48,0
828,1998,283980,-95,-95,0,0,0,0,9,5,40,0
829,1998,45956,-95,-95,0,0,0,0,11,3,31,0
830,1998,23241,-95,-95,0,0,0,0,8,3,127,0
831,1998,45122,-95,-95,0,0,0,0,9,5,-95,0
832,1998,68735,-95,-95,0,0,0,0,11,5,47,0
833,1998,166200,36564,-95,0,0,0,0,9,5,-95,0
836,1998,159860,-95,-95,0,0,0,0,13,3,18,0
837,1998,38731,-95,-95,0,0,0,0,11,5,15,0
838,1998,42095,-95,-95,0,0,0,0,9,5,53,0
839,1998,161054,161054,-95,0,0,0,0,11,3,81,0
848,1998,98400,-95,-95,0,0,0,0,9,5,32,0
850,1998,33467,-95,-95,0,0,0,0,7,5,204,0
851,1998,47299,-95,-95,0,0,0,0,11,5,33,0
852,1998,77009,-95,-95,0,0,0,0,11,5,25,0
856,1998,48040,10080,-95,0,0,0,0,9,5,-95,0
858,1998,90634,-95,-95,0,0,0,0,9,3,131,0
859,1998,69923,-95,-95,0,0,0,0,7,5,1379,0
860,1998,42394,-95,-95,0,0,0,0,7,3,60,0
861,1998,61899,-95,-95,0,0,0,0,7,5,-95,0
862,1998,89969,-95,-95,0,0,0,0,11,3,-95,0
863,1998,75600,-95,-95,0,0,0,0,11,7,-95,0
866,1998,93500,19600,-95,0,0,0,0,17,5,-95,0
868,1998,67848,-95,-95,0,0,0,0,14,5,27,1
876,1998,125000,-95,-95,0,0,0,0,5,3,64,0
877,1998,1582300,653900,56000,1,1,1,1,9,5,14,0
878,1998,91700,-95,-95,0,0,0,0,11,5,93,0
880,1998,39338,-95,-95,0,0,0,0,12,7,188,0
881,1998,181700,-95,-95,0,0,0,0,9,3,35,0
882,1998,35712,-95,-95,0,0,0,0,9,5,31,0
883,1998,56628,59604,-95,0,0,0,0,11,5,52,0
885,1998,685000,649000,30000,1,1,1,1,5,3,7,0
886,1998,34800,-95,-95,0,0,0,0,6,5,112,0
887,1998,45255,-95,-95,0,0,0,0,9,3,192,0
888,1998,34000,-95,-95,0,0,0,0,11,3,-95,0
889,1998,46152,-95,-95,0,0,0,0,13,5,201,0
893,1998,-95,-95,-95,0,0,0,0,11,3,48,0
895,1998,-95,-95,-95,0,0,0,0,7,5,103,0
897,1998,900000,3533900,60000,1,0,0,0,11,3,40,0
898,1998,69000,-95,-95,0,0,0,0,8,5,3,3
899,1998,-95,-95,-95,0,0,0,0,11,7,24,0
900,1998,349200,864300,40000,1,1,1,1,11,5,7,0
901,1998,1200000,965000,60000,1,1,1,1,9,3,12,0
902,1998,700000,1060000,40000,1,1,1,0,9,5,6,0
903,1998,312100,511300,50000,1,1,1,1,5,3,2,0
905,1998,793600,710400,33320,1,1,1,1,9,4,45,0
908,1998,180000,2478300,80000,1,1,1,1,7,5,3,0
917,1998,215400,1901800,64260,1,1,1,1,9,3,4,0
1696,1998,62000,-95,-95,0,0,0,0,11,5,15,0
1896,1998,33600,-95,-95,0,0,0,0,9,6,7,0
600001,1998,118000,-95,-95,0,0,0,0,9,5,235,0
