股票代码,年度,CR_5指数,CR_10指数,Z指数,Herfindahl_5指数,Herfindahl_10指数
566,1998,0.559127,0.575695,4.801673954,0.15924429,0.159299677
567,1998,0.518618,0.600991,2.434822398,0.074554029,0.076023479
568,1998,0.750542,0.77035,937.5413534,0.559741901,0.559820678
569,1998,0.724846,0.771053,18.69314796,0.388710515,0.389144041
570,1998,0.531706,0.57213,10.05990989,0.187025592,0.187414254
571,1998,0.575881,0.581289,1.517900457,0.114417356,0.114423277
572,1998,0.549527,0.562905,4.307562537,0.159190699,0.159230266
573,1998,0.317179,0.327006,2.976539363,0.042758566,0.042777907
576,1998,0.474918,0.485384,8.555099411,0.132470157,0.132493613
578,1998,0.635045,0.655355,2.375860595,0.158758988,0.158841896
581,1998,0.37528,0.376857,8.495928157,0.094514188,0.094514688
582,1998,0.708613,0.77031,49.07550698,0.465976311,0.466742478
583,1998,0.576779,0.606717,11.27626241,0.237015048,0.237203788
584,1998,0.345832,0.354286,3.376129675,0.041534289,0.041548696
585,1998,0.820286,0.88604,1.800115159,0.348323563,0.349192478
586,1998,0.487903,0.49542,10.52005833,0.129475093,0.129486848
587,1998,0.607939,0.629971,4.75262146,0.219718051,0.219817618
588,1998,0.374511,0.396443,10.7819607,0.08768862,0.087785487
589,1998,0.620904,0.642836,673.7371865,0.381700288,0.381797155
590,1998,0.590539,0.60283,9.321902072,0.201336276,0.201367231
591,1998,0.718194,0.734339,42.6389235,0.468830134,0.468883108
592,1998,0.465007,0.475003,69.90658909,0.197723885,0.19774395
593,1998,0.422483,0.426504,4.979089318,0.073898187,0.073901431
594,1998,0.659309,0.671727,1.615111615,0.167223747,0.167255193
595,1998,0.670641,0.674444,4.642625947,0.243115504,0.24311841
596,1998,0.689924,0.713087,71.39019374,0.435271816,0.435379677
597,1998,0.62349,0.669486,58.49756573,0.361085096,0.361523208
598,1998,0.59522,0.61391,67.12268709,0.324549897,0.324620341
599,1998,0.628596,0.661726,207.2898356,0.381867523,0.382087442
600,1998,0.526088,0.54037,1.640037046,0.104619803,0.104662375
601,1998,0.328664,0.335908,3.410489935,0.052819879,0.052831424
602,1998,0.286569,0.300382,2.329659407,0.019323494,0.019361877
603,1998,0.748828,0.782053,4.658396109,0.281298977,0.281523717
605,1998,0.751309,0.764391,73,0.53304295,0.533077505
606,1998,0.698077,0.717857,2.077864849,0.185433098,0.18551158
607,1998,0.491134,0.508871,44.4564821,0.214842129,0.214909828
608,1998,0.522343,0.537758,2.333574122,0.105791491,0.105840189
609,1998,0.535471,0.573258,8.529920021,0.154122184,0.154412886
610,1998,0.599648,0.619824,4.147515429,0.164382708,0.164464544
611,1998,0.569403,0.605276,17.81985583,0.250722582,0.251025931
612,1998,0.615418,0.631426,35.86324199,0.330679988,0.330731717
613,1998,0.341601,0.392396,9.730121368,0.071574348,0.072115011
615,1998,0.554734,0.587906,17.04870141,0.235467911,0.235689859
616,1998,0.606831,0.618803,6.408863082,0.206330733,0.206359669
617,1998,0.70051,0.747866,142.6052686,0.472701941,0.473169281
618,1998,0.971683,0.984479,3.068967174,0.547474363,0.54750813
619,1998,0.672426,0.674022,146.6666667,0.435641197,0.435641735
620,1998,0.529781,0.548775,10.72352227,0.205145619,0.20522384
621,1998,0.476921,0.49103,1.066446272,0.072941668,0.072981617
622,1998,0.453259,0.460172,2.856929098,0.086259403,0.086268995
623,1998,0.540658,0.550896,3.65858845,0.114734061,0.114755117
625,1998,0.724695,0.774154,5.785037651,0.344766021,0.345273928
626,1998,0.7242,0.754051,1.668484188,0.16115836,0.161342027
627,1998,0.73822,0.746813,7.119244087,0.375970783,0.375986456
628,1998,0.223805,0.233564,6.324892133,0.025814166,0.025833551
629,1998,0.725075,0.747999,16.86411643,0.447188485,0.447295062
630,1998,0.727849,0.80643,58.5440353,0.47647463,0.477737762
631,1998,0.575323,0.595319,2.31708216,0.174779316,0.174861709
632,1998,0.452242,0.457587,3.563991642,0.061377032,0.061382923
633,1998,0.575072,0.597958,1.998818147,0.08158881,0.081699009
635,1998,0.602386,0.610975,6.411811699,0.195974076,0.195989112
