股票代码,年度,股票简称,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地,证券交易所,中小企业板标示,交易状态
'000014,2009,沙河股份,沙河集团股份有限公司,NA,J01,404030,NA,SZ,0,0
'000014,2010,沙河股份,沙河集团股份有限公司,NA,J01,404030,NA,SZ,0,0
'000016,2002,深康佳A,康佳集团股份有限公司,"KONKA GROUP CO.,LTD.",C55,252010,深圳市华侨城东部工业区,SZ,0,0
'000016,2003,深康佳A,康佳集团股份有限公司,"KONKA GROUP CO.,LTD.",C55,252010,深圳市华侨城东部工业区,SZ,0,0
'000016,2004,深康佳A,康佳集团股份有限公司,"KONKA GROUP CO.,LTD.",C55,252010,深圳市华侨城东部工业区,SZ,0,0
'000016,2005,G康佳Ａ,康佳集团股份有限公司,"KONKA GROUP CO.,LTD.",C55,252010,深圳市华侨城东部工业区,SZ,0,0
'000016,2006,深康佳A,康佳集团股份有限公司,"KONKA GROUP CO.,LTD.",C55,252010,NA,SZ,0,0
'000016,2007,深康佳A,康佳集团股份有限公司,"KONKA GROUP CO.,LTD.",C55,252010,NA,SZ,0,0
'000016,2008,深康佳A,康佳集团股份有限公司,"KONKA GROUP CO.,LTD.",C55,252010,NA,SZ,0,0
'000016,2009,深康佳A,康佳集团股份有限公司,NA,C55,252010,NA,SZ,0,0
'000016,2010,深康佳A,康佳集团股份有限公司,NA,C55,252010,NA,SZ,0,0
'000017,2003,ST中华A,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY (HOLDINGS) LIMITED,C75,252020,广东省深圳市布心路三零零八号,SZ,0,1
'000017,2004,ST中华A,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY (HOLDINGS) LIMITED,C75,252020,广东省深圳市布心路三零零八号,SZ,0,1
'000017,2005,*ST中华A,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY (HOLDINGS) LIMITED,C75,252020,广东省深圳市布心路三零零八号,SZ,0,1
